FinancialID,DateKey,Revenue,Operating_Expenses,COGS,Gross_Profit,EBITDA,Depreciation_Amortization,Interest_Expense,Taxes,Net_Income,Gross_Margin,Operating_Margin,EBITDA_Margin,Net_Margin,ROI,Cash_Flow_Operations,Capital_Expenditures,Free_Cash_Flow,EPS,Current_Ratio,Debt_to_Equity,Inventory_Turnover,AR_Days,AP_Days,Month_Name,Revenue_YTD,Net_Income_YTD,EBITDA_YTD,Quarter,Revenue_QTD,Net_Income_QTD,Operating_Expense_Ratio,COGS_Ratio,Tax_Rate,Working_Capital_Turnover,Profitability_Health,Liquidity_Health,Season
1,20240101,3040.05,764.22,1285.07,1754.98,930.22,117.93,53.81,143.53,614.94,57.73,32.59,30.6,20.23,15.89,756.94,145.24,611.7,0.143,1.34,1.7,9.73,39.31,48.38,January,3040.05,614.94,930.22,1,3040.05,614.94,25.14,42.27,18.92,6.67,Excellent,Strong,Low
2,20240201,3301.25,922.19,1409.05,1892.2,1095.25,110.6,65.54,169.13,749.99,57.32,29.38,33.18,22.72,22.96,899.3,187.77,711.53,0.1744,1.21,1.53,9.24,38.03,51.17,February,6341.3,1364.93,2025.47,1,6341.3,1364.93,27.93,42.68,18.4,6.67,Excellent,Adequate,Low
3,20240301,3319.46,835.82,1456.8,1862.67,1045.42,132.83,52.22,164.78,695.59,56.11,30.93,31.49,20.95,24.87,916.46,185.88,730.57,0.1618,1.34,1.54,11.24,36.19,51.44,March,9660.76,2060.52,3070.8900000000003,1,9660.76,2060.52,25.18,43.89,19.15,6.67,Excellent,Strong,Low
4,20240401,3336.81,863.57,1474.65,1862.16,1116.25,159.54,52.76,170.25,733.7,55.81,29.93,33.45,21.99,25.58,969.28,160.89,808.38,0.1706,1.23,1.79,9.66,37.04,43.3,April,12997.57,2794.2200000000003,4187.14,2,3336.81,733.7,25.88,44.19,18.83,6.67,Excellent,Adequate,Medium
5,20240501,3807.68,996.43,1703.13,2104.56,1295.82,184.99,52.75,225.85,832.23,55.27,29.1,34.03,21.86,17.59,1063.43,195.46,867.97,0.1935,1.34,1.95,11.76,40.27,40.89,May,16805.25,3626.4500000000003,5482.96,2,7144.49,1565.93,26.17,44.73,21.35,6.67,Excellent,Strong,High
6,20240601,4186.44,1076.51,1828.74,2357.7,1330.69,206.26,67.27,213.03,844.14,56.32,30.6,31.79,20.16,24.05,1144.58,225.61,918.97,0.1963,1.43,1.55,11.04,44.72,41.95,June,20991.69,4470.59,6813.65,2,11330.93,2410.07,25.71,43.68,20.15,6.67,Excellent,Strong,Peak
7,20240701,4657.4,1307.19,2038.05,2619.35,1400.54,222.15,88.44,227.96,861.99,56.24,28.17,30.07,18.51,20.48,1230.78,189.48,1041.3,0.2005,1.37,1.85,9.21,36.28,40.29,July,25649.089999999997,5332.58,8214.189999999999,3,4657.4,861.99,28.07,43.76,20.91,6.67,Good,Strong,Peak
8,20240801,4575.71,1222.85,1886.31,2689.4,1590.21,203.59,83.03,257.15,1046.45,58.78,32.05,34.75,22.87,17.26,1310.24,267.31,1042.93,0.2434,1.23,1.81,9.62,44.34,49.8,August,30224.799999999996,6379.03,9804.399999999998,3,9233.11,1908.44,26.72,41.22,19.73,6.67,Excellent,Adequate,Peak
9,20240901,4013.29,1086.66,1656.63,2356.66,1250.61,151.42,71.79,210.68,816.72,58.72,31.64,31.16,20.35,20.31,1017.62,182.89,834.73,0.1899,1.24,1.68,9.2,43.07,41.37,September,34238.09,7195.75,11055.009999999998,3,13246.4,2725.16,27.08,41.28,20.51,6.67,Excellent,Adequate,High
10,20241001,3892.89,1047.82,1635.01,2257.87,1204.9,155.11,75.86,191.5,782.43,58.0,31.08,30.95,20.1,19.36,1049.31,162.07,887.24,0.182,1.32,1.63,11.68,40.82,50.88,October,38130.979999999996,7978.18,12259.909999999998,4,3892.89,782.43,26.92,42.0,19.66,6.67,Excellent,Strong,Medium
11,20241101,3679.55,1024.6,1567.17,2112.38,1143.37,147.95,38.67,185.58,771.17,57.41,29.56,31.07,20.96,21.65,983.45,176.87,806.57,0.1793,1.47,1.93,9.3,39.09,54.88,November,41810.53,8749.35,13403.279999999999,4,7572.4400000000005,1553.6,27.85,42.59,19.4,6.67,Excellent,Strong,Medium
12,20241201,3990.28,1077.22,1684.57,2305.71,1255.56,164.23,47.06,200.94,843.32,57.78,30.79,31.47,21.13,18.24,1042.83,237.05,805.78,0.1961,1.39,1.69,11.38,39.37,41.82,December,45800.81,9592.67,14658.839999999998,4,11562.720000000001,2396.92,27.0,42.22,19.24,6.67,Excellent,Strong,High
